run_idx,scheduler_mode,scheduling_policy_value,arrival_rate_rps,max_batch_size,batch_timeout_ms,batch_id,dispatch_time_ms,finish_time_ms,batch_size,batch_runtime_ms,prompt_len,max_new_tokens,tokens_generated_total,phase,tokens_scheduled,active_requests,padding_waste_tokens,padding_waste_bytes_est,padding_waste_pct
0,continuous,32.0,4.0,2,-1.0,27,324.30078499919546,330.26284999914424,1,5.96206499994878,59,29,32,prefill,32,2,0,0,0.0
0,continuous,32.0,4.0,2,-1.0,28,330.26284999914424,343.0276869989939,1,12.76483699984965,59,29,27,prefill,27,2,0,0,0.0
0,continuous,32.0,4.0,2,-1.0,29,343.0276869989939,354.6958349988927,2,11.668147999898792,134,67,2,decode,2,2,0,0,0.0
0,continuous,32.0,4.0,2,-1.0,30,354.6958349988927,366.16283099874636,2,11.46699599985368,134,67,2,decode,2,2,0,0,0.0
0,continuous,32.0,4.0,2,-1.0,31,366.16283099874636,377.70444899842914,2,11.541617999682785,134,67,2,decode,2,2,0,0,0.0
0,continuous,32.0,4.0,2,-1.0,32,377.70444899842914,389.43938699821956,2,11.734937999790418,134,67,2,decode,2,2,0,0,0.0
0,continuous,32.0,4.0,2,-1.0,33,389.43938699821956,400.963410998429,2,11.524024000209465,134,67,2,decode,2,2,0,0,0.0
0,continuous,32.0,4.0,2,-1.0,34,400.963410998429,412.56060499836167,2,11.597193999932642,134,67,2,decode,2,2,0,0,0.0
0,continuous,32.0,4.0,2,-1.0,35,412.56060499836167,425.9977649985558,2,13.437160000194126,134,67,2,decode,2,2,0,0,0.0
0,continuous,32.0,4.0,2,-1.0,36,425.9977649985558,438.2859439983804,2,12.288178999824595,134,67,2,decode,2,2,0,0,0.0
0,continuous,32.0,4.0,2,-1.0,37,438.2859439983804,449.91537499845435,2,11.629431000073964,134,67,2,decode,2,2,0,0,0.0
0,continuous,32.0,4.0,2,-1.0,38,449.91537499845435,461.4670959981595,2,11.55172099970514,134,67,2,decode,2,2,0,0,0.0
0,continuous,32.0,4.0,2,-1.0,39,461.4670959981595,473.55390199845715,2,12.086806000297656,134,67,2,decode,2,2,0,0,0.0
0,continuous,32.0,4.0,2,-1.0,40,473.55390199845715,486.0270989984201,2,12.473196999962965,134,67,2,decode,2,2,0,0,0.0
0,continuous,32.0,4.0,2,-1.0,41,486.0270989984201,497.4469549983951,2,11.41985599997497,134,67,2,decode,2,2,0,0,0.0
0,continuous,32.0,4.0,2,-1.0,42,497.4469549983951,508.99376699817367,2,11.546811999778583,134,67,2,decode,2,2,0,0,0.0
0,continuous,32.0,4.0,2,-1.0,43,508.99376699817367,520.572329998231,2,11.57856300005733,134,67,2,decode,2,2,0,0,0.0
0,continuous,32.0,4.0,2,-1.0,44,520.572329998231,532.2555109983114,2,11.683181000080367,134,67,2,decode,2,2,0,0,0.0
0,continuous,32.0,4.0,2,-1.0,45,532.2555109983114,544.0861669981132,2,11.83065599980182,134,67,2,decode,2,2,0,0,0.0
0,continuous,32.0,4.0,2,-1.0,46,544.0861669981132,555.6875329980357,2,11.601365999922564,134,67,2,decode,2,2,0,0,0.0
0,continuous,32.0,4.0,2,-1.0,47,555.6875329980357,567.178013998273,2,11.490481000237196,134,67,2,decode,2,2,0,0,0.0
0,continuous,32.0,4.0,2,-1.0,48,567.178013998273,578.6187379981129,2,11.440723999839975,134,67,2,decode,2,2,0,0,0.0
0,continuous,32.0,4.0,2,-1.0,49,578.6187379981129,590.1993319985195,2,11.580594000406563,134,67,2,decode,2,2,0,0,0.0
0,continuous,32.0,4.0,2,-1.0,50,590.1993319985195,601.878223998483,2,11.678891999963525,134,67,2,decode,2,2,0,0,0.0
