run_idx,scheduler_mode,scheduling_policy_value,arrival_rate_rps,max_batch_size,batch_timeout_ms,request_id,batch_id,workload_name,prompt_len,max_new_tokens,arrival_time_ms,start_time_ms,finish_time_ms,first_token_time_ms,first_token_latency_ms,wait_time_ms,service_time_ms,latency_ms
0,dynamic,0.0,4.0,2,0.0,0,0,chat_turn,134,67,0.0,0.0,951.8581320012345,214.2326379998849,214.2326379998849,0.0,951.8581320012345,951.8581320012345
0,dynamic,0.0,4.0,2,0.0,1,1,short_qa,61,21,70.2235749988963,951.8581320012345,1289.7154640018016,968.3411910014001,898.1176160025038,881.6345570023382,337.8573320005671,1219.4918890029053
0,dynamic,0.0,4.0,2,0.0,2,1,short_qa,59,29,293.42359780850745,951.8581320012345,1289.7154640018016,968.3411910014001,674.9175931928927,658.434534192727,337.8573320005671,996.2918661932941
0,dynamic,0.0,4.0,2,0.0,3,2,chat_turn,271,57,359.63021145332436,1289.7154640018016,2375.8066659993347,1329.7975350014895,970.1673235481651,930.0852525484772,1086.091201997533,2016.1764545460103
0,dynamic,0.0,4.0,2,0.0,4,2,rag_answer,470,92,674.3427371512198,1289.7154640018016,2375.8066659993347,1329.7975350014895,655.4547978502696,615.3727268505818,1086.091201997533,1701.4639288481148
0,dynamic,0.0,4.0,2,0.0,5,3,short_qa,159,16,823.4427211917266,2375.8066659993347,2787.510359999942,2396.21057299928,1572.7678518075534,1552.363944807608,411.70369400060736,1964.0676388082154
0,dynamic,0.0,4.0,2,0.0,6,3,short_qa,102,37,1178.9825607545579,2375.8066659993347,2787.510359999942,2396.21057299928,1217.228012244722,1196.8241052447768,411.70369400060736,1608.5277992453841
0,dynamic,0.0,4.0,2,0.0,7,4,short_qa,145,37,1260.3705504630188,2787.510359999942,3174.8520189999,2796.849242999542,1536.4786925365233,1527.1398095369232,387.3416589999579,1914.481468536881
0,static,0.0,4.0,2,-1.0,0,0,chat_turn,134,67,0.0,70.2235749988963,786.8445879969718,89.21310599888464,89.21310599888464,70.2235749988963,716.6210129980755,786.8445879969718
0,static,0.0,4.0,2,-1.0,1,0,short_qa,61,21,70.2235749988963,70.2235749988963,786.8445879969718,89.21310599888464,18.989530999988347,0.0,716.6210129980755,716.6210129980755
0,static,0.0,4.0,2,-1.0,2,1,short_qa,59,29,293.42359780850745,786.8445879969718,1416.0699799961426,809.6056119973459,516.1820141888385,493.4209901884643,629.2253919991708,1122.646382187635
0,static,0.0,4.0,2,-1.0,3,1,chat_turn,271,57,359.63021145332436,786.8445879969718,1416.0699799961426,809.6056119973459,449.97540054402157,427.2143765436474,629.2253919991708,1056.4397685428182
0,static,0.0,4.0,2,-1.0,4,2,rag_answer,470,92,674.3427371512198,1416.0699799961426,2433.7991649956953,1452.2832419959618,777.940504844742,741.7272428449228,1017.7291849995527,1759.4564278444755
0,static,0.0,4.0,2,-1.0,5,2,short_qa,159,16,823.4427211917266,1416.0699799961426,2433.7991649956953,1452.2832419959618,628.8405208042352,592.627258804416,1017.7291849995527,1610.3564438039687
0,static,0.0,4.0,2,-1.0,6,3,short_qa,102,37,1178.9825607545579,2433.7991649956953,2869.4296139945313,2453.4566769955622,1274.4741162410044,1254.8166042411374,435.6304489988361,1690.4470532399735
0,static,0.0,4.0,2,-1.0,7,3,short_qa,145,37,1260.3705504630188,2433.7991649956953,2869.4296139945313,2453.4566769955622,1193.0861265325434,1173.4286145326764,435.6304489988361,1609.0590635315125
0,continuous,32.0,4.0,2,-1.0,0,0,chat_turn,134,67,0.0,0.0,985.5072999985168,73.62709400013046,73.62709400013046,0.0,985.5072999985168,985.5072999985168
0,continuous,32.0,4.0,2,-1.0,1,5,short_qa,61,21,70.2235749988963,73.62709400013046,324.30078499919546,91.7574930003866,21.533918001490306,3.4035190012341587,250.673690999065,254.07721000029915
0,continuous,32.0,4.0,2,-1.0,2,27,short_qa,59,29,293.42359780850745,324.30078499919546,671.8127229987658,343.0276869989939,49.604089190486434,30.877187190688005,347.51193799957036,378.38912519025837
0,continuous,32.0,4.0,2,-1.0,3,57,chat_turn,271,57,359.63021145332436,671.8127229987658,1631.9539559995064,784.5867389992236,424.95652754589923,312.18251154544146,960.1412330007406,1272.323744546182
0,continuous,32.0,4.0,2,-1.0,4,84,rag_answer,470,92,674.3427371512198,985.5072999985168,2445.8888399981333,1178.038268999444,503.69553184822416,311.164562847297,1460.3815399996165,1771.5461028469135
0,continuous,32.0,4.0,2,-1.0,5,138,short_qa,159,16,823.4427211917266,1631.9539559995064,1870.3202729980148,1685.6432969989328,862.2005758072062,808.5112348077798,238.3663169985084,1046.8775518062882
0,continuous,32.0,4.0,2,-1.0,6,158,short_qa,102,37,1178.9825607545579,1870.3202729980148,2364.2161579978165,1916.234429997985,737.2518692434271,691.337712243457,493.89588499980164,1185.2335972432586
0,continuous,32.0,4.0,2,-1.0,7,198,short_qa,145,37,1260.3705504630188,2364.2161579978165,2815.9738339973046,2421.046954997564,1160.6764045345453,1103.8456075347976,451.75767599948813,1555.6032835342858
