run_idx,arrival_rate_rps,max_batch_size,batch_timeout_ms,request_id,batch_id,prompt_len,max_new_tokens,arrival_time_ms,start_time_ms,finish_time_ms,wait_time_ms,service_time_ms,latency_ms
0,20.0,1,0.0,0,0,128,32,0.0,0.0,339.6442749990456,0.0,339.6442749990456,339.6442749990456
0,20.0,1,0.0,1,1,128,32,51.00301436374005,339.6442749990456,473.23139799937053,288.64126063530557,133.58712300032494,422.2283836356305
0,20.0,1,0.0,2,2,128,32,52.269456315876994,473.23139799937053,607.042977000674,420.96194168349354,133.81157900130347,554.773520684797
0,20.0,1,0.0,3,3,128,32,68.35065951962527,607.042977000674,741.0320939989106,538.6923174810487,133.98911699823657,672.6814344792853
0,20.0,1,0.0,4,4,128,32,80.97996880313094,741.0320939989106,874.5336469955873,660.0521251957796,133.50155299667676,793.5536781924563
0,20.0,1,0.0,5,5,128,32,147.6596024435351,874.5336469955873,1007.6742589981222,726.8740445520523,133.1406120025349,860.0146565545872
0,20.0,1,0.0,6,6,128,32,204.11825288346475,1007.6742589981222,1140.9888849930212,803.5560061146575,133.31462599489896,936.8706321095565
0,20.0,1,0.0,7,7,128,32,315.4826578610338,1140.9888849930212,1274.4503409967365,825.5062271319874,133.46145600371528,958.9676831357027
0,20.0,1,0.0,8,8,128,32,320.0302780913621,1274.4503409967365,1407.544911995501,954.4200629053744,133.09457099876454,1087.514633904139
0,20.0,1,0.0,9,9,128,32,347.43258606118667,1407.544911995501,1540.896386993154,1060.1123259343144,133.35147499765299,1193.4638009319674
0,20.0,1,0.0,10,10,128,32,348.9450949215546,1540.896386993154,1674.3824269960896,1191.9512920715995,133.48604000293562,1325.437332074535
0,20.0,1,0.0,11,11,128,32,361.2809297195458,1674.3824269960896,1807.948688993747,1313.1014972765438,133.56626199765742,1446.6677592742012
0,20.0,1,0.0,12,12,128,32,396.47670611285344,1807.948688993747,1941.6026359904208,1411.4719828808936,133.65394699667377,1545.1259298775674
0,20.0,1,0.0,13,13,128,32,397.8214262968688,1941.6026359904208,2075.4194219898636,1543.781209693552,133.8167859994428,1677.5979956929948
0,20.0,1,0.0,14,14,128,32,408.9060097550528,2075.4194219898636,2209.7337759933,1666.5134122348109,134.31435400343616,1800.827766238247
0,20.0,1,0.0,15,15,128,32,461.38060981618145,2209.7337759933,2342.9805239939014,1748.3531661771183,133.24674800060166,1881.59991417772
0,20.0,1,0.0,16,16,128,32,500.7470725283015,2342.9805239939014,2477.568887993584,1842.2334514656,134.58836399968277,1976.8218154652827
0,20.0,1,0.0,17,17,128,32,513.1983934766427,2477.568887993584,2610.876303993791,1964.3704945169416,133.307416000207,2097.6779105171486
0,20.0,1,0.0,18,18,128,32,557.6888287917308,2610.876303993791,2744.057440992947,2053.1874752020603,133.18113699915557,2186.368612201216
0,20.0,1,0.0,19,19,128,32,640.5757335028857,2744.057440992947,2879.0180129935834,2103.481707490061,134.9605720006366,2238.4422794906977
0,20.0,1,0.0,20,20,128,32,640.901731930599,2879.0180129935834,3017.0684199956668,2238.1162810629844,138.05040700208338,2376.166688065068
0,20.0,1,0.0,21,21,128,32,722.8500250351266,3017.0684199956668,3155.0374679954984,2294.21839496054,137.96904799983167,2432.1874429603718
0,20.0,1,0.0,22,22,128,32,782.7395220838008,3155.0374679954984,3292.7355939955305,2372.2979459116978,137.69812600003206,2509.99607191173
0,20.0,1,0.0,23,23,128,32,803.5342764087299,3292.7355939955305,3430.023922993314,2489.2013175868005,137.28832899778354,2626.489646584584
0,20.0,1,0.0,24,24,128,32,811.9835898130933,3430.023922993314,3568.791683991549,2618.040333180221,138.76776099823473,2756.8080941784556
0,20.0,1,0.0,25,25,128,32,969.5597222350085,3568.791683991549,3706.9307159918026,2599.2319617565404,138.1390320002538,2737.370993756794
0,20.0,1,0.0,26,26,128,32,990.0781687290627,3706.9307159918026,3843.5301349927613,2716.85254726274,136.59941900095873,2853.4519662636985
