run_idx,arrival_rate_rps,max_batch_size,batch_timeout_ms,batch_id,dispatch_time_ms,finish_time_ms,batch_size,batch_runtime_ms,prompt_len,max_new_tokens,tokens_generated_total
0,20.0,1,0.0,0,0.0,339.6442749990456,1,339.6442749990456,128,32,32
0,20.0,1,0.0,1,339.6442749990456,473.23139799937053,1,133.58712300032494,128,32,32
0,20.0,1,0.0,2,473.23139799937053,607.042977000674,1,133.81157900130347,128,32,32
0,20.0,1,0.0,3,607.042977000674,741.0320939989106,1,133.98911699823657,128,32,32
0,20.0,1,0.0,4,741.0320939989106,874.5336469955873,1,133.50155299667676,128,32,32
0,20.0,1,0.0,5,874.5336469955873,1007.6742589981222,1,133.1406120025349,128,32,32
0,20.0,1,0.0,6,1007.6742589981222,1140.9888849930212,1,133.31462599489896,128,32,32
0,20.0,1,0.0,7,1140.9888849930212,1274.4503409967365,1,133.46145600371528,128,32,32
0,20.0,1,0.0,8,1274.4503409967365,1407.544911995501,1,133.09457099876454,128,32,32
0,20.0,1,0.0,9,1407.544911995501,1540.896386993154,1,133.35147499765299,128,32,32
0,20.0,1,0.0,10,1540.896386993154,1674.3824269960896,1,133.48604000293562,128,32,32
0,20.0,1,0.0,11,1674.3824269960896,1807.948688993747,1,133.56626199765742,128,32,32
0,20.0,1,0.0,12,1807.948688993747,1941.6026359904208,1,133.65394699667377,128,32,32
0,20.0,1,0.0,13,1941.6026359904208,2075.4194219898636,1,133.8167859994428,128,32,32
0,20.0,1,0.0,14,2075.4194219898636,2209.7337759933,1,134.31435400343616,128,32,32
0,20.0,1,0.0,15,2209.7337759933,2342.9805239939014,1,133.24674800060166,128,32,32
0,20.0,1,0.0,16,2342.9805239939014,2477.568887993584,1,134.58836399968277,128,32,32
0,20.0,1,0.0,17,2477.568887993584,2610.876303993791,1,133.307416000207,128,32,32
0,20.0,1,0.0,18,2610.876303993791,2744.057440992947,1,133.18113699915557,128,32,32
0,20.0,1,0.0,19,2744.057440992947,2879.0180129935834,1,134.9605720006366,128,32,32
0,20.0,1,0.0,20,2879.0180129935834,3017.0684199956668,1,138.05040700208338,128,32,32
0,20.0,1,0.0,21,3017.0684199956668,3155.0374679954984,1,137.96904799983167,128,32,32
0,20.0,1,0.0,22,3155.0374679954984,3292.7355939955305,1,137.69812600003206,128,32,32
0,20.0,1,0.0,23,3292.7355939955305,3430.023922993314,1,137.28832899778354,128,32,32
