run_idx,arrival_rate_rps,max_batch_size,batch_timeout_ms,num_requests,num_batches,throughput_rps,throughput_tokens_per_s,mean_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,mean_wait_ms,p95_wait_ms,mean_service_ms,mean_batch_size,max_batch_size_realized,mean_batch_runtime_ms
0,28.0,4,10.0,200,54,27.384043511670875,876.289392373468,307.652298165006,306.20439500418036,443.0178809932639,471.10794344214025,172.57992154003935,309.45409091409806,135.07237662496664,3.7037037037037037,4,135.06524640740315
1,28.0,4,10.0,200,56,26.268368384092646,840.5877882909647,343.65173915017004,275.16790597199633,663.488427759145,710.4744803990377,207.90090729493096,529.4575331075034,135.75083185523908,3.5714285714285716,4,135.78071310740012
2,28.0,4,10.0,200,51,28.69096907187346,918.1110102999507,419.292097618265,426.28599230247573,585.871238063413,626.7441547527603,282.7907272582043,449.32677031642345,136.50137036006072,3.9215686274509802,4,136.48695300012417
0,28.0,4,20.0,200,54,27.343959383107194,875.0067002594302,303.4377062742379,304.3684416368518,429.1289943841647,459.2948108082737,168.36371033406797,292.510041386059,135.07399594016988,3.7037037037037037,4,135.0783278891733
1,28.0,4,20.0,200,56,26.371942911684602,843.9021731739073,334.5950808911737,279.80982592301643,631.155529048971,677.9807157262201,199.54929841623817,497.0051416447463,135.04578247493555,3.5714285714285716,4,135.0681681784798
2,28.0,4,20.0,200,51,29.023868467743018,928.7637909677766,345.4467372754217,346.9249791849966,487.00420386842404,515.4719117621302,210.7522210556609,352.4925594999672,134.69451621976077,3.9215686274509802,4,134.72314080370458
0,28.0,8,0.0,200,52,27.72110123628376,887.0752395610804,201.05503120001254,192.24095825413178,265.136402863692,282.06918927896413,64.52527870574178,128.64164295396313,136.52975249427072,3.8461538461538463,8,135.8320710953299
1,28.0,8,0.0,200,53,27.63055315309574,884.1777008990637,206.45564619555608,209.03831151554482,266.7312591202441,272.39697090079443,69.11407283597491,128.53030556038897,137.34157335958116,3.7735849056603774,8,136.57290481126626
2,28.0,8,0.0,200,48,30.347330876214553,971.1145880388657,209.58320831205938,208.3915682167965,271.17818426602645,308.5862394984457,71.58189990741351,131.74096756799534,138.0013084046459,4.166666666666667,8,137.2272176870979
0,28.0,8,10.0,200,52,27.683897012114663,885.8847043876692,206.6402838934569,203.35014750779192,267.089159638997,277.1426338856419,69.98063846838664,130.2409875489664,136.65964542507027,3.8461538461538463,8,135.80667436546997
1,28.0,8,10.0,200,53,27.154315443494447,868.9380941918223,209.6953612579148,206.48840795016486,270.9211057416965,277.4572307026929,70.29645899300367,132.37175718243142,139.39890226491116,3.7735849056603774,8,138.54660366021838
2,28.0,8,10.0,200,48,29.997012503057636,959.9044000978444,208.86803878699274,207.39304236030512,273.38950756633335,293.759676173122,69.45590963700587,134.31107020932254,139.41212914998687,4.166666666666667,8,138.69438793739164
0,28.0,8,20.0,200,52,27.647724590834073,884.7271869066903,204.83206751465292,202.8330070009771,268.80161833965343,279.0927898718019,68.66366186956799,130.35675052248595,136.16840564508493,3.8461538461538463,8,135.4989255962839
1,28.0,8,20.0,200,54,27.1660412696784,869.3133206297088,205.94034723266907,206.0993508166598,266.29958252541036,272.9814371484617,69.53546081222763,130.78901667033887,136.40488642044147,3.7037037037037037,8,135.57955959265234
2,28.0,8,20.0,200,49,30.002856563767956,960.0914100405746,209.8843401195417,213.65579894140603,266.87463804458434,294.3226864942795,73.77092363971673,131.62562756463706,136.113416479825,4.081632653061225,8,135.50192216332238
0,36.0,1,0.0,200,200,7.410219663156395,237.12702922100465,10948.308266864842,10860.690801187053,20563.281036065746,21418.562619892928,10813.359500774683,20428.317227165324,134.94876609016046,1.0,1,134.94876609016046
